Feature,Importance
YearsSinceLastPromotion,0.025656847104166953
TotalWorkingYears,0.02319266492987712
NumCompaniesWorked,0.022682878103536135
BusinessTravel,0.021314111460492537
MaritalStatus,0.020729878280895314
JobSatisfaction,0.02046870933053778
EnvironmentSatisfaction,0.020101676614732035
YearsWithCurrManager,0.01961511651341803
Age,0.0194150468689171
PerformanceRating,0.018563441117522707
WorkLifeBalance,0.016835557138068072
DistanceFromHome,0.014470261665648578
Gender,0.014020964939056737
TrainingTimesLastYear,0.013722867349295627
Department,0.013365518707537336
PercentSalaryHike,0.013210847592918948
JobInvolvement,0.012786238264835714
EducationField,0.012532209245430066
StockOptionLevel,0.012530678370829173
JobRole,0.012461015172218193
YearsAtCompany,0.011969980268580992
Education,0.011952230289897763
JobLevel,0.010382047370737859
MonthlyIncome,0.009388687226071545
